id;fecha_movimiento;tipo;monto;descripcion;referencia_externa
1;2025-10-23T11:38:23;CUOTA;686.32;instead brr;generally rigidly
2;2025-10-22T20:06:12;INTERESES;15356.79;boo boo;lovely than warp
3;2025-10-23T02:12:31;PAGO;12927.06;able feline bossy;yowza
4;2025-10-23T02:26:02;COMISION;2978.66;of complete;deflect nor
5;2025-10-23T05:41:26;COMISION;24842.66;atrium;finally
6;2025-10-23T05:28:27;INTERESES;7496.79;than;essay
7;2025-10-22T22:03:56;INTERESES;27492.64;impanel annual;barracks
8;2025-10-23T14:21:18;CUOTA;18130.16;inasmuch;fooey sinful
9;2025-10-23T04:59:11;INTERESES;21492.31;nectarine worth;yowza elegantly
10;2025-10-23T01:19:00;COMISION;32036.33;yippee;upward with reflate
