id;nombre;descripcion;tipo;tasa_interes;plazo_maximo
1;reproach;../fake-data/blob/hipster.txt;PERSONAL;10248.25;7402
2;quit hence;../fake-data/blob/hipster.txt;ROTATIVO;10051.06;11601
3;smoothly;../fake-data/blob/hipster.txt;PERSONAL;7433.77;31818
4;consequently nor;../fake-data/blob/hipster.txt;AUTOMOTRIZ;3283.68;5201
5;viability pleasant why;../fake-data/blob/hipster.txt;HIPOTECARIO;31720.21;26498
6;honestly;../fake-data/blob/hipster.txt;HIPOTECARIO;3284.47;5082
7;among;../fake-data/blob/hipster.txt;AUTOMOTRIZ;30735.5;1661
8;or;../fake-data/blob/hipster.txt;TARJETA_DE_CREDITO;1407.77;25323
9;entrench subtle;../fake-data/blob/hipster.txt;PERSONAL;13028.5;6740
10;finger;../fake-data/blob/hipster.txt;PERSONAL;32111.54;24477
